SignalDate,Code,Name,Source_D10_Top20,Source_ReLaunch,D10Rank,D10ExplosionScore,ReLaunchTracks,R0_BASE_ONSET,R1_CCI_ONSET,R2_J_ONSET,R3_EITHER_ONSET,R4_BOTH_ONSET
2026-09-04,0050,元大台灣50,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,0052,富邦科技,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,0053,元大電子,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,0056,元大高股息,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,0057,富邦摩台,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,1213,大飲,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,1457,宜進,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,1472,三洋實業,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,1503,士電,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,1569,濱川,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,1597,直得,True,True,20.0,0.25929233,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,1708,東鹼,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,1725,元禎,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,2033,佳大,True,False,10.0,0.26673353,,False,False,False,False,False
2026-09-04,2034,允強,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,2207,和泰車,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,2241,艾姆勒,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,2303,聯電,False,True,,,R0_BASE|R1_CCI|R3_EITHER,True,True,False,True,False
2026-09-04,2305,全友,False,True,,,R0_BASE|R1_CCI|R3_EITHER,True,True,False,True,False
2026-09-04,2308,台達電,False,True,,,R0_BASE|R1_CCI|R3_EITHER,True,True,False,True,False
2026-09-04,2312,金寶,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,2317,鴻海,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,2330,台積電,False,True,,,R0_BASE|R1_CCI|R3_EITHER,True,True,False,True,False
2026-09-04,2353,宏碁,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,2357,華碩,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,2376,技嘉,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,2377,微星,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,2382,廣達,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,2385,群光,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,2388,威盛,True,True,14.0,0.2620299,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,2413,環科,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,2421,建準,False,True,,,R0_BASE|R1_CCI|R3_EITHER,True,True,False,True,False
2026-09-04,2426,鼎元,True,False,15.0,0.26158023,,False,False,False,False,False
2026-09-04,2428,興勤,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,2434,統懋,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,2477,美隆電,False,True,,,R0_BASE|R1_CCI|R3_EITHER,True,True,False,True,False
2026-09-04,2515,中工,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,2530,華建,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,2545,皇翔,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,2881,富邦金,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,2924,宏太-KY,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,2939,永邑-KY,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,3008,大立光,True,False,11.0,0.2655969,,False,False,False,False,False
2026-09-04,3017,奇鋐,True,True,16.0,0.26091215,R0_BASE|R1_CCI|R3_EITHER,True,True,False,True,False
2026-09-04,3021,鴻名,True,True,6.0,0.27274022,R0_BASE,True,False,False,False,False
2026-09-04,3023,信邦,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,3026,禾伸堂,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,3094,聯傑,True,False,2.0,0.2825883,,False,False,False,False,False
2026-09-04,3167,大量,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,3168,眾福科,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,3188,鑫龍騰,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,3272,東碩,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,3306,鼎天,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,3324,雙鴻,True,True,12.0,0.26460204,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,3362,先進光,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,3374,精材,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,3380,明泰,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,3406,玉晶光,True,False,8.0,0.2679738,,False,False,False,False,False
2026-09-04,3437,榮創,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,3441,聯一光,True,False,9.0,0.26797065,,False,False,False,False,False
2026-09-04,3483,力致,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,3491,昇達科,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,3515,華擎,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,3516,亞帝歐,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,3532,台勝科,True,False,7.0,0.26873076,,False,False,False,False,False
2026-09-04,3551,世禾,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,3580,友威科,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,3591,艾笛森,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
