Date,Code,Name,EARLY_BAND,BIG_SWING_STAGE
2026-09-11,1233,天仁,A｜最早強共振,—
2026-09-11,1474,弘裕,A｜最早強共振,—
2026-09-11,1599,宏佳騰,B｜早期候選,—
2026-09-11,1736,喬山,A｜最早強共振,—
2026-09-11,1813,寶利徠,B｜早期候選,—
2026-09-11,2063,世鎧,B｜早期候選,—
2026-09-11,2208,台船,A｜最早強共振,—
2026-09-11,2414,精技,B｜早期候選,—
2026-09-11,2450,神腦,B｜早期候選,—
2026-09-11,2453,凌群,B｜早期候選,👀 波段結構觀察
2026-09-11,2468,華經,C｜觀察,—
2026-09-11,2480,敦陽科,B｜早期候選,—
2026-09-11,2488,漢平,A｜最早強共振,—
2026-09-11,2548,華固,A｜最早強共振,—
2026-09-11,2608,嘉里大榮,B｜早期候選,—
2026-09-11,2850,新產,B｜早期候選,—
2026-09-11,3005,神基,B｜早期候選,—
2026-09-11,3085,新零售,C｜觀察,—
2026-09-11,3494,誠研,B｜早期候選,👀 波段結構觀察
2026-09-11,3520,華盈,B｜早期候選,—
2026-09-11,3570,大塚,B｜早期候選,👀 波段結構觀察
2026-09-11,3679,新至陞,C｜觀察,—
2026-09-11,4120,友華,B｜早期候選,—
2026-09-11,4148,全宇生技-KY,C｜觀察,👀 波段結構觀察
2026-09-11,4155,訊映,C｜觀察,👀 波段結構觀察
2026-09-11,4173,久裕,B｜早期候選,—
2026-09-11,4545,銘鈺,A｜最早強共振,—
2026-09-11,4572,駐龍,C｜觀察,—
2026-09-11,4585,達明,A｜最早強共振,—
2026-09-11,4915,致伸,B｜早期候選,👀 波段結構觀察
2026-09-11,5212,凌網,B｜早期候選,—
2026-09-11,5220,萬達光電,B｜早期候選,—
2026-09-11,5344,立衛,A｜最早強共振,—
2026-09-11,5469,瀚宇博,B｜早期候選,—
2026-09-11,5487,通泰,B｜早期候選,—
2026-09-11,5547,久舜,B｜早期候選,🌱 大波段萌芽
2026-09-11,5902,德記,C｜觀察,—
2026-09-11,6023,元大期,C｜觀察,—
2026-09-11,6101,寬魚國際,B｜早期候選,—
2026-09-11,6136,富爾特,B｜早期候選,—
2026-09-11,6201,亞弘電,A｜最早強共振,—
2026-09-11,6206,飛捷,A｜最早強共振,—
2026-09-11,6210,慶生,B｜早期候選,—
2026-09-11,6264,富裔,C｜觀察,—
2026-09-11,6523,達爾膚,B｜早期候選,—
2026-09-11,6605,帝寶,B｜早期候選,—
2026-09-11,6612,奈米醫材,B｜早期候選,👀 波段結構觀察
2026-09-11,6614,資拓宏宇,B｜早期候選,—
2026-09-11,6689,伊雲谷,C｜觀察,—
2026-09-11,6690,安碁資訊,C｜觀察,—
2026-09-11,6692,進能服,B｜早期候選,—
2026-09-11,6803,崑鼎,B｜早期候選,👀 波段結構觀察
2026-09-11,6811,宏碁資訊,A｜最早強共振,—
2026-09-11,6884,海柏特,C｜觀察,👀 波段結構觀察
2026-09-11,6909,創控,C｜觀察,—
2026-09-11,7767,仁大資訊,A｜最早強共振,—
2026-09-11,8072,陞泰,B｜早期候選,—
2026-09-11,8176,智捷,B｜早期候選,—
2026-09-11,8424,惠普,C｜觀察,—
2026-09-11,8464,億豐,A｜最早強共振,—
2026-09-11,8931,大汽電,B｜早期候選,🌱 大波段萌芽
2026-09-11,9933,中鼎,C｜觀察,—
2026-09-11,9944,新麗,B｜早期候選,—
2026-09-11,9960,邁達康,B｜早期候選,👀 波段結構觀察
